date,product,quantity,price
2025-01-14,Chocolate,5,1.84
2025-04-15,Cheese,6,2.6
2024-10-01,Cookies,7,1.4
2025-04-20,Pasta,4,1.18
2024-11-28,Eggs,2,0.26
2024-10-09,Banana,4,0.5
2025-05-17,Salt,6,0.36
2024-11-09,Beer,3,0.9
2024-09-14,Chocolate,7,1.83
2024-07-08,Lettuce,3,0.83
2024-07-17,Tomato,6,1.04
2025-06-30,Rice,2,1.23
2024-10-18,Apple,7,0.67
2024-03-07,Red Wine,5,5.87
2024-09-11,Canned Tuna,6,1.4
2025-03-15,Yogurt,7,0.56
2024-07-31,Rice,3,1.32
2024-03-17,Tea,3,1.98
2024-10-16,Banana,4,0.45
2024-09-27,Cookies,2,1.61
2024-08-18,Tea,3,2.14
2024-11-10,Tea,3,1.95
2025-02-16,Coffee,4,3.99
2025-03-18,Olive Oil,3,6.5
2024-01-22,Toilet Paper,5,0.43
2024-10-11,Chocolate,5,1.92
2024-06-13,Banana,7,0.55
2024-03-31,Pasta,5,1.08
2025-04-18,Pasta,5,1.05
2024-09-30,Mineral Water,5,0.32
2024-09-02,Salt,4,0.37
2024-04-30,Cookies,6,1.4
2024-05-28,Tea,7,2.24
2025-02-28,Canned Tuna,4,1.31
2024-06-01,Pasta,7,1.2
2024-07-12,Beer,5,0.86
2024-06-04,Cookies,7,1.42
2025-03-26,Red Wine,4,6.45
2025-04-25,Yogurt,5,0.55
2024-02-06,Olive Oil,10,6.29
2024-04-12,Coffee,7,3.47
2024-11-28,Beer,2,0.79
2024-07-03,Milk,4,0.91
2024-09-17,Banana,6,0.47
2025-04-21,Beer,1,0.81
2025-03-10,Rice,4,1.35
2025-01-02,Cookies,5,1.43
2025-02-09,Eggs,2,0.24
2024-07-13,Olive Oil,11,5.86
2024-02-10,Coffee,5,3.61
2024-05-14,Rice,2,1.38
2025-05-28,Cheese,6,2.81
2024-03-18,Olive Oil,7,6.93
2025-02-08,Apple,7,0.74
2025-01-25,Bread,4,1.14
2024-12-01,Tea,3,2.28
2025-02-22,Coffee,4,3.59
2024-05-18,Yogurt,4,0.51
2024-04-11,Canned Tuna,7,1.39
2024-08-29,Red Wine,5,6.04
2024-05-05,Chicken,6,4.78
2024-12-07,Beer,4,0.78
2024-05-31,Lettuce,7,0.99
2024-09-13,Coffee,3,3.42
2024-09-28,Banana,6,0.46
2025-04-04,Milk,3,0.88
2025-06-17,Chicken,4,5.21
2024-04-20,Rice,4,1.29
2024-11-28,Red Wine,5,6.15
2024-04-27,Canned Tuna,4,1.54
2024-12-13,Tea,5,2.16
2024-06-05,Beer,4,0.83
2024-04-08,Chocolate,3,1.95
2024-12-28,Toilet Paper,6,0.47
2024-11-15,Chocolate,4,1.96
2025-01-11,Chicken,5,4.79
2024-09-30,Yogurt,8,0.58
2024-05-26,Bread,4,1.12
2025-06-27,Eggs,4,0.26
2024-03-27,Tomato,4,1.07
2025-03-29,Milk,3,0.88
2024-04-23,Chocolate,5,1.77
2024-07-28,Rice,6,1.35
2025-03-16,Rice,5,1.42
2025-02-10,Banana,5,0.46
2024-11-16,Toilet Paper,2,0.41
2025-04-16,Eggs,6,0.25
2025-02-14,Cookies,3,1.63
2024-04-26,Sugar,5,0.92
2024-07-21,Sugar,7,1.0
2024-11-26,Banana,8,0.51
2025-04-17,Tea,7,2.02
2025-06-03,Beer,5,0.77
2024-06-03,Canned Tuna,8,1.39
2025-03-24,Milk,6,0.94
2024-12-08,Beer,7,0.85
2024-03-24,Cheese,7,2.51
2024-03-27,Eggs,5,0.26
2025-06-23,Rice,5,1.32
2024-08-07,Cheese,4,2.68
2024-03-20,Pasta,3,1.2
2024-12-10,Rice,5,1.39
2025-03-24,Coffee,6,3.52
2025-04-04,Milk,5,0.93
2024-10-15,Lettuce,8,0.91
2024-05-21,Canned Tuna,3,1.4
2024-03-26,Olive Oil,6,5.92
2025-04-06,Banana,5,0.48
2024-08-17,Chicken,5,5.65
2024-02-09,Bread,4,1.16
2024-08-08,Rice,7,1.41
2024-11-04,Apple,4,0.71
2025-05-26,Yogurt,4,0.5
2024-12-27,Coffee,5,3.83
2025-06-03,Lettuce,6,0.91
2025-01-17,Salt,3,0.36
2024-04-16,Olive Oil,3,6.82
2024-12-12,Eggs,2,0.26
2025-04-13,Tea,6,1.96
2024-02-12,Milk,2,0.91
2024-12-31,Pasta,6,1.2
2025-02-13,Milk,3,1.02
2025-06-15,Toilet Paper,5,0.44
2024-11-24,Olive Oil,5,6.89
2024-02-13,Yogurt,6,0.5
2025-02-19,Toilet Paper,6,0.48
2025-03-24,Chicken,3,5.21
2024-06-06,Milk,5,0.88
2024-05-20,Chocolate,3,1.78
2024-07-09,Sugar,4,0.97
2024-10-19,Red Wine,5,5.92
2024-03-30,Cookies,6,1.62
2024-06-27,Chocolate,7,1.97
2025-05-20,Chicken,3,5.21
2025-02-11,Bread,6,1.17
2025-04-05,Cookies,6,1.57
2024-02-26,Beer,7,0.88
2025-06-15,Yogurt,4,0.55
2024-11-06,Rice,4,1.39
2024-12-11,Coffee,4,3.83
2024-08-03,Eggs,5,0.23
2024-10-31,Eggs,8,0.25
2024-07-27,Beer,3,0.78
2025-01-14,Pasta,6,1.12
2024-04-09,Sugar,4,1.01
2024-12-01,Milk,5,0.91
2024-11-11,Eggs,4,0.26
2025-05-21,Red Wine,6,5.34
2025-02-14,Coffee,9,4.09
2025-05-31,Milk,3,0.96
2024-12-13,Beer,6,0.89
2024-05-20,Salt,5,0.44
2024-06-15,Cookies,6,1.45
2024-01-18,Canned Tuna,7,1.54
2024-01-28,Chicken,3,5.02
2025-01-24,Coffee,8,3.78
2025-03-04,Apple,5,0.75
2024-05-21,Apple,6,0.69
2025-06-29,Sugar,5,0.94
2024-11-01,Pasta,8,1.11
2025-01-23,Lettuce,10,0.98
2025-03-28,Canned Tuna,6,1.49
2024-09-02,Tea,6,2.0
2024-12-04,Lettuce,4,0.82
2025-05-02,Cookies,5,1.49
2024-04-01,Red Wine,4,6.08
2024-02-07,Tea,7,2.13
2024-11-01,Canned Tuna,5,1.48
2025-05-31,Eggs,7,0.26
2024-12-11,Beer,6,0.81
2024-04-07,Rice,7,1.32
2025-01-27,Banana,3,0.55
2025-01-03,Lettuce,5,0.89
2024-10-29,Cookies,8,1.42
2025-01-17,Chicken,3,5.32
2024-04-24,Mineral Water,11,0.36
2025-06-16,Milk,4,1.01
2025-06-06,Beer,3,0.78
2025-04-18,Beer,4,0.9
2024-12-18,Chocolate,6,1.91
2025-02-22,Cookies,5,1.37
2024-05-16,Banana,10,0.53
2024-08-16,Tea,4,2.25
2025-04-16,Bread,6,1.26
2025-03-05,Chicken,4,4.84
2024-07-30,Coffee,2,4.0
2024-02-19,Cheese,3,2.39
2024-02-27,Lettuce,4,0.94
2024-11-05,Apple,7,0.7
2024-06-28,Apple,6,0.77
2025-01-25,Tea,3,2.18
2025-04-29,Sugar,4,0.96
2024-09-05,Lettuce,8,0.96
2024-10-01,Olive Oil,6,6.11
2024-12-06,Canned Tuna,7,1.45
2024-07-13,Rice,1,1.42
2024-09-02,Toilet Paper,5,0.42
2025-05-24,Salt,5,0.39
2024-05-29,Beer,8,0.78
2025-01-23,Bread,5,1.14
2024-06-21,Eggs,8,0.27
2024-02-04,Toilet Paper,7,0.48
2025-06-01,Cheese,7,2.83
2025-02-25,Beer,6,0.83
2024-07-02,Bread,6,1.08
2025-02-10,Yogurt,5,0.6
2024-02-02,Cheese,8,2.53
2025-03-20,Cheese,5,2.55
2024-08-04,Tea,5,2.22
2024-10-14,Cookies,3,1.62
2024-07-31,Salt,3,0.41
2024-05-23,Eggs,10,0.23
2024-03-18,Cookies,4,1.57
2025-01-19,Pasta,8,1.12
2024-03-16,Mineral Water,5,0.33
2025-01-04,Cheese,4,2.48
2025-03-17,Yogurt,5,0.51
2024-04-05,Beer,3,0.86
2024-03-27,Coffee,4,3.87
2024-11-04,Toilet Paper,6,0.49
2025-05-10,Olive Oil,3,6.49
2024-01-07,Cheese,6,2.53
2024-11-24,Canned Tuna,8,1.35
2025-05-17,Coffee,5,4.14
2024-07-03,Eggs,6,0.26
2024-10-25,Chocolate,4,1.9
2024-06-06,Cookies,6,1.37
2024-02-07,Cookies,8,1.48
2024-12-29,Chicken,5,5.41
2024-12-05,Banana,4,0.51
2024-08-14,Mineral Water,3,0.32
2024-10-29,Beer,6,0.83
2024-12-17,Mineral Water,4,0.38
2025-04-08,Beer,3,0.9
2024-12-17,Pasta,3,1.0
2025-02-18,Tea,8,1.94
2024-07-21,Tea,3,1.97
2024-04-14,Beer,6,0.87
2024-11-16,Salt,5,0.37
2025-04-13,Coffee,3,3.72
2024-04-29,Coffee,7,3.55
2025-05-13,Banana,5,0.49
2024-07-10,Tea,5,2.12
2025-05-21,Pasta,7,1.18
2024-02-01,Mineral Water,4,0.36
2025-05-22,Lettuce,4,0.86
2024-08-11,Salt,8,0.4
2024-04-30,Mineral Water,8,0.32
2024-06-21,Lettuce,11,0.85
2025-02-25,Pasta,7,1.21
2024-09-10,Milk,5,1.04
2024-04-05,Chocolate,5,1.76
2024-04-05,Canned Tuna,6,1.4
2024-10-17,Toilet Paper,9,0.49
2025-04-15,Pasta,6,1.11
2025-03-14,Bread,3,1.11
2025-01-04,Tomato,6,1.21
2024-08-27,Olive Oil,4,5.96
2025-05-03,Mineral Water,2,0.36
2024-12-17,Cheese,3,2.41
2025-01-27,Yogurt,3,0.6
2024-05-16,Cheese,4,2.72
2024-06-17,Tea,3,2.31
2024-04-12,Beer,6,0.82
2024-10-10,Apple,5,0.74
2025-06-14,Tea,8,1.93
2024-09-02,Coffee,3,3.81
2024-01-13,Red Wine,3,5.77
2025-04-27,Chicken,5,5.65
2024-02-10,Cheese,2,2.35
2024-06-05,Milk,6,1.04
2024-11-30,Olive Oil,4,5.96
2024-09-07,Canned Tuna,7,1.42
2024-06-28,Cheese,3,2.82
2025-05-23,Yogurt,2,0.5
2024-10-02,Chicken,4,5.22
2024-10-05,Toilet Paper,3,0.48
2025-01-03,Sugar,4,0.91
2024-04-28,Milk,4,0.95
2024-01-13,Lettuce,1,0.94
2025-03-05,Lettuce,5,0.82
2025-01-16,Lettuce,4,0.87
2025-04-21,Yogurt,6,0.55
2025-01-12,Rice,3,1.37
2024-09-08,Tomato,9,1.05
2025-01-20,Apple,7,0.63
2025-05-18,Toilet Paper,3,0.47
2024-08-25,Milk,3,1.04
2024-03-04,Sugar,8,0.98
2024-11-30,Mineral Water,5,0.36
2024-04-18,Pasta,5,1.09
2024-07-31,Banana,3,0.49
2024-11-07,Beer,3,0.82
2024-04-03,Cookies,3,1.56
2025-02-18,Cookies,6,1.42
2024-05-23,Beer,3,0.86
2024-09-22,Yogurt,7,0.5
2024-12-05,Cheese,4,2.35
2024-01-31,Yogurt,5,0.5
2024-10-13,Canned Tuna,3,1.45
2024-10-29,Beer,3,0.92
2024-05-20,Red Wine,3,5.8
2025-05-29,Mineral Water,10,0.33
2024-10-14,Pasta,3,1.08
2024-09-10,Milk,5,1.01
2024-08-30,Chocolate,11,1.71
2024-07-11,Eggs,7,0.24
2024-02-27,Red Wine,2,5.95
2024-12-05,Lettuce,2,0.92
2024-05-25,Coffee,6,3.57
2024-11-05,Yogurt,6,0.59
2024-12-31,Pasta,6,1.02
2024-01-02,Lettuce,5,0.93
2024-11-21,Cookies,4,1.63
2024-11-23,Coffee,5,3.59
2024-08-02,Banana,6,0.51
2025-03-24,Lettuce,4,0.93
2025-05-05,Toilet Paper,5,0.44
2024-02-04,Eggs,3,0.26
2025-01-19,Rice,3,1.18
2025-05-09,Banana,5,0.52
2024-07-29,Cookies,5,1.36
2025-02-06,Tomato,6,1.08
2024-03-30,Eggs,3,0.25
2024-10-25,Rice,4,1.38
2025-01-31,Cheese,5,2.59
2025-03-26,Banana,3,0.49
2024-12-18,Beer,5,0.81
2025-01-31,Salt,3,0.39
2024-02-05,Sugar,6,0.98
2024-06-20,Sugar,6,1.01
2024-09-21,Tomato,6,1.17
2024-11-29,Pasta,4,1.19
2025-06-19,Olive Oil,2,6.53
2024-04-18,Mineral Water,5,0.32
2025-02-16,Eggs,9,0.26
2025-05-01,Apple,6,0.72
2024-11-06,Olive Oil,2,7.02
2025-03-29,Rice,5,1.24
2025-02-20,Pasta,4,1.05
2024-06-11,Toilet Paper,3,0.45
2024-07-16,Cheese,5,2.5
2025-06-01,Tomato,6,1.17
2025-01-16,Canned Tuna,2,1.44
2024-09-21,Red Wine,5,6.01
2024-02-20,Toilet Paper,2,0.48
2024-07-30,Banana,4,0.54
2024-01-09,Olive Oil,7,6.7
2024-09-15,Lettuce,7,0.86
2025-01-18,Tomato,5,1.09
2024-10-10,Salt,4,0.41
2024-09-03,Tea,6,2.03
2025-02-01,Milk,9,1.01
2025-05-02,Toilet Paper,5,0.41
2025-04-27,Chocolate,5,1.75
2024-11-10,Apple,8,0.73
2024-03-13,Mineral Water,5,0.37
2024-06-03,Red Wine,5,6.36
2024-03-23,Apple,7,0.77
2025-04-07,Red Wine,3,5.7
2025-03-20,Olive Oil,6,6.12
2025-06-30,Tea,3,2.07
2024-01-05,Tomato,5,1.15
2025-05-30,Tea,4,2.2
2024-10-24,Eggs,2,0.24
2025-02-17,Beer,8,0.89
2025-01-10,Bread,5,1.13
2024-02-19,Cookies,3,1.55
2024-04-28,Coffee,3,4.18
2024-01-10,Mineral Water,4,0.35
2024-04-17,Rice,5,1.28
2024-04-18,Sugar,2,1.04
2025-02-23,Red Wine,4,5.54
2024-04-01,Rice,6,1.21
2025-06-07,Yogurt,3,0.59
2024-10-30,Cheese,3,2.72
2024-02-10,Olive Oil,2,6.45
2024-05-21,Rice,6,1.26
2024-04-26,Chocolate,7,1.85
2024-05-15,Canned Tuna,7,1.37
2025-01-23,Cookies,7,1.57
2024-11-17,Chicken,9,5.32
2024-04-07,Bread,9,1.25
2024-02-25,Mineral Water,6,0.36
2025-05-18,Bread,5,1.23
2025-01-22,Pasta,3,1.04
2025-05-25,Canned Tuna,4,1.49
2025-02-17,Beer,3,0.82
2024-02-25,Mineral Water,10,0.32
2024-04-09,Lettuce,6,0.96
2024-06-17,Chocolate,7,1.7
2025-02-06,Red Wine,5,5.48
2025-04-06,Tomato,7,1.09
2025-03-19,Beer,5,0.88
2025-01-31,Eggs,6,0.25
2024-05-16,Chocolate,10,1.84
2024-10-24,Apple,9,0.69
2024-12-26,Chocolate,8,1.74
2024-01-26,Salt,9,0.4
2024-10-20,Canned Tuna,4,1.3
2025-04-08,Chocolate,5,1.71
2024-10-21,Yogurt,6,0.56
2024-09-14,Cookies,7,1.55
2024-06-30,Tomato,12,1.13
2024-10-12,Chocolate,4,1.65
2025-04-22,Salt,3,0.38
2024-11-04,Cookies,4,1.63
2024-07-07,Red Wine,4,6.24
2024-08-14,Sugar,4,0.91
2024-01-10,Tomato,6,1.14
2024-10-16,Yogurt,10,0.57
2024-07-16,Bread,5,1.3
2024-03-08,Pasta,5,1.1
2025-03-21,Tomato,5,1.14
2024-12-05,Tea,3,2.23
2024-08-21,Milk,4,0.87
2024-01-07,Olive Oil,5,6.38
2024-03-15,Tea,3,2.19
2025-03-24,Chicken,4,5.65
2024-10-29,Canned Tuna,5,1.37
2024-01-06,Tea,9,1.95
2025-06-08,Eggs,7,0.25
2024-02-25,Apple,4,0.65
2024-04-10,Salt,3,0.4
2024-04-12,Tomato,4,1.15
2025-01-08,Rice,6,1.33
2025-01-03,Pasta,6,1.2
2024-03-24,Apple,6,0.73
2024-03-19,Olive Oil,4,6.97
2024-02-01,Toilet Paper,2,0.41
2024-09-23,Eggs,3,0.25
2024-10-24,Salt,6,0.43
2025-06-10,Apple,8,0.7
2024-08-12,Apple,7,0.69
2025-02-01,Red Wine,5,5.58
2025-06-17,Red Wine,4,6.39
2025-01-09,Tea,5,2.24
2025-05-08,Eggs,8,0.26
2024-06-02,Coffee,5,3.43
2025-05-05,Banana,6,0.47
2024-02-14,Red Wine,3,5.56
2024-05-30,Apple,3,0.71
2025-04-27,Milk,10,0.89
2024-12-16,Red Wine,7,5.51
2024-01-17,Beer,3,0.87
2024-04-30,Tomato,9,1.1
2025-01-14,Cheese,7,2.59
2024-09-17,Milk,10,0.99
2024-01-06,Red Wine,5,6.21
2025-06-19,Cookies,1,1.57
2025-03-12,Yogurt,5,0.55
2025-05-09,Tea,7,2.14
2025-02-11,Banana,4,0.49
2024-04-12,Toilet Paper,5,0.42
2025-02-02,Tomato,5,1.1
2025-03-21,Tea,2,1.89
2024-02-08,Cheese,2,2.37
2025-06-14,Toilet Paper,10,0.44
2024-10-09,Rice,9,1.22
2024-04-02,Canned Tuna,5,1.36
2025-02-17,Salt,7,0.38
2024-04-29,Eggs,5,0.23
2024-01-29,Sugar,12,1.09
2024-11-19,Red Wine,5,5.45
2024-09-26,Mineral Water,2,0.38
2024-11-17,Lettuce,5,0.86
2024-07-23,Chicken,5,4.91
2024-12-30,Lettuce,4,0.94
2025-05-19,Apple,2,0.74
2024-07-06,Coffee,9,3.43
2025-03-09,Sugar,3,0.96
2024-06-27,Red Wine,2,6.42
2024-08-03,Beer,4,0.93
2025-04-27,Canned Tuna,5,1.42
2025-02-14,Coffee,5,3.68
2024-06-02,Olive Oil,9,6.44
2024-02-18,Red Wine,8,6.26
2024-04-08,Canned Tuna,3,1.29
2025-02-25,Beer,5,0.89
2025-06-06,Yogurt,8,0.53
2024-05-28,Red Wine,4,6.22
2024-12-17,Banana,6,0.51
2024-06-20,Lettuce,10,0.87
2024-03-22,Banana,3,0.54
2025-04-29,Tomato,2,1.03
2025-02-03,Salt,6,0.36
2024-02-05,Rice,5,1.23
2025-04-12,Chocolate,9,1.75
2024-04-01,Tea,7,2.2
2025-06-19,Beer,3,0.82
2025-05-18,Apple,2,0.68
2024-09-12,Red Wine,8,5.66
2024-09-02,Banana,4,0.52
2024-10-23,Sugar,9,1.05
2024-02-20,Yogurt,5,0.57
2024-01-09,Salt,4,0.36
2024-08-10,Lettuce,1,0.83
2024-03-23,Pasta,5,1.08
2024-09-13,Apple,4,0.64
2025-03-29,Canned Tuna,4,1.49
2024-04-06,Lettuce,2,0.94
2024-02-13,Sugar,5,1.03
2024-02-23,Toilet Paper,4,0.49
2024-10-09,Chocolate,4,1.7
2024-02-13,Eggs,2,0.23
2024-06-10,Eggs,4,0.26
2024-04-19,Red Wine,6,5.42
2025-01-21,Apple,7,0.7
2025-03-24,Chicken,2,5.43
2025-04-24,Salt,4,0.38
2025-01-10,Olive Oil,6,6.98
2025-01-07,Beer,4,0.77
2024-10-16,Coffee,7,3.6
2024-05-12,Pasta,4,1.08
2025-02-01,Banana,3,0.54
2024-08-14,Chocolate,3,1.8
2024-08-01,Coffee,1,3.97
2025-03-01,Tea,4,2.1
2024-11-07,Chicken,4,5.51
2025-06-22,Cheese,5,2.83
2025-01-01,Chocolate,5,1.71
2025-02-15,Chocolate,4,1.79
2024-11-28,Sugar,5,0.97
2024-09-17,Chicken,6,5.11
2024-11-03,Chicken,8,5.68
2025-04-16,Lettuce,9,0.85
2024-11-03,Chicken,4,4.84
2024-11-28,Cheese,3,2.64
2024-02-27,Red Wine,9,5.51
2025-01-26,Pasta,8,1.07
2025-05-29,Milk,3,0.91
2025-04-01,Cookies,3,1.42
2024-12-10,Coffee,4,3.86
2024-05-18,Cheese,6,2.59
2024-03-14,Red Wine,6,5.97
2025-03-09,Olive Oil,4,6.86
2024-11-08,Chicken,3,5.04
2024-08-27,Banana,5,0.55
2024-02-25,Tomato,3,1.14
2024-04-23,Lettuce,4,0.98
2024-08-04,Rice,2,1.29
2024-03-02,Tomato,10,1.11
2024-10-04,Rice,5,1.22
2025-01-30,Chocolate,3,1.93
2024-07-22,Lettuce,6,0.99
2025-06-26,Sugar,3,1.09
2024-11-05,Rice,4,1.26
2024-09-20,Lettuce,3,0.99
2024-10-13,Canned Tuna,3,1.51
2024-08-20,Lettuce,6,0.84
2024-05-21,Mineral Water,6,0.33
2024-05-28,Eggs,6,0.25
2024-11-21,Tea,5,2.28
2024-07-11,Apple,9,0.73
2024-08-24,Yogurt,3,0.51
2025-01-17,Coffee,7,3.6
2024-02-03,Banana,3,0.54
2024-10-03,Mineral Water,1,0.37
2025-03-25,Mineral Water,4,0.33
2024-02-12,Coffee,4,3.79
2024-02-09,Coffee,6,3.98
2025-01-31,Sugar,7,0.92
2024-06-19,Sugar,6,1.05
2025-05-27,Mineral Water,6,0.34
2025-04-09,Yogurt,6,0.51
2024-06-16,Eggs,5,0.27
2025-01-28,Cookies,4,1.57
2024-06-02,Toilet Paper,8,0.48
2025-04-01,Banana,4,0.54
2024-07-26,Rice,2,1.33
2025-05-20,Bread,5,1.23
2024-10-11,Lettuce,5,0.85
2024-12-23,Coffee,4,3.9
2024-12-05,Milk,3,0.88
2024-06-30,Cheese,6,2.37
2024-11-02,Beer,2,0.89
2024-03-07,Pasta,3,1.07
2024-08-02,Rice,4,1.29
2024-03-30,Cookies,4,1.41
2024-12-28,Red Wine,7,6.16
2024-07-17,Apple,7,0.72
2024-02-16,Bread,6,1.11
2024-11-03,Pasta,6,1.07
2024-01-30,Sugar,4,1.01
2024-05-19,Banana,5,0.47
2025-06-17,Red Wine,7,5.49
2024-12-05,Rice,3,1.32
2024-06-18,Chicken,4,4.75
2024-11-11,Eggs,3,0.26
2024-08-31,Cookies,3,1.61
2024-02-08,Chicken,4,5.15
2025-05-09,Tomato,2,1.19
2024-04-10,Sugar,5,0.93
2024-01-05,Sugar,5,1.04
2024-02-17,Rice,4,1.41
2024-07-16,Yogurt,6,0.55
2024-06-01,Rice,3,1.24
2025-06-10,Banana,1,0.48
2024-10-17,Yogurt,3,0.52
2025-03-30,Eggs,3,0.24
2025-03-12,Milk,4,0.88
2025-06-30,Canned Tuna,9,1.31
2025-04-11,Cheese,6,2.85
2024-09-21,Rice,4,1.35
2025-05-01,Chicken,6,5.09
2024-04-15,Yogurt,5,0.53
2024-09-06,Canned Tuna,7,1.49
2025-03-17,Salt,3,0.37
2025-05-13,Mineral Water,6,0.35
2024-04-21,Yogurt,6,0.56
2024-05-22,Chocolate,5,1.91
2024-05-30,Eggs,2,0.27
2024-11-20,Chocolate,5,1.67
2024-01-09,Rice,7,1.32
2025-01-13,Coffee,3,4.17
2025-01-02,Salt,1,0.44
2025-01-26,Yogurt,5,0.59
2025-01-03,Canned Tuna,5,1.37
2024-01-17,Mineral Water,4,0.33
2025-03-01,Apple,4,0.73
2025-03-10,Beer,8,0.92
2024-02-08,Coffee,7,3.43
2025-06-23,Eggs,4,0.25
2025-04-28,Olive Oil,3,6.45
2024-02-24,Tea,5,2.2
2025-04-09,Pasta,1,1.11
2024-11-07,Sugar,6,1.08
2024-01-28,Toilet Paper,6,0.48
2024-10-11,Rice,2,1.3
2024-04-24,Olive Oil,3,6.02
2024-08-29,Coffee,5,3.55
2024-03-27,Red Wine,2,5.52
2024-12-19,Apple,8,0.71
2025-02-12,Milk,3,0.98
2025-03-21,Red Wine,7,5.67
2025-06-28,Bread,6,1.15
2025-02-04,Tea,7,2.04
2024-07-03,Beer,6,0.9
2024-04-10,Pasta,3,1.11
2024-01-25,Sugar,4,0.92
2024-07-08,Coffee,9,3.49
2025-03-13,Yogurt,6,0.57
2024-03-04,Cookies,4,1.62
2024-07-24,Canned Tuna,5,1.37
2024-04-18,Coffee,4,3.72
2024-09-13,Beer,2,0.89
2024-02-08,Beer,3,0.77
2025-05-17,Chocolate,4,1.76
2025-05-08,Red Wine,5,5.82
2024-12-14,Yogurt,7,0.56
2024-11-02,Cheese,6,2.78
2024-07-13,Cookies,5,1.47
2025-02-02,Apple,3,0.63
2024-12-13,Cheese,6,2.75
2024-06-01,Milk,7,0.92
2024-01-20,Toilet Paper,3,0.46
2024-02-21,Red Wine,4,6.38
2024-04-18,Rice,4,1.38
2024-05-20,Yogurt,8,0.55
2024-05-24,Pasta,5,1.17
2024-02-11,Mineral Water,3,0.33
2025-05-13,Apple,4,0.64
2024-10-17,Cheese,2,2.34
2024-10-04,Mineral Water,4,0.36
2025-05-26,Sugar,4,0.99
2024-08-29,Coffee,4,4.14
2025-06-03,Tomato,4,1.02
2024-04-25,Lettuce,3,0.89
2025-01-07,Apple,5,0.73
2024-02-23,Rice,5,1.22
2024-11-29,Salt,6,0.37
2025-02-26,Mineral Water,5,0.33
2025-04-10,Tomato,5,1.07
2024-05-10,Banana,5,0.49
2025-04-21,Milk,2,0.99
2024-06-23,Beer,4,0.84
2025-04-18,Eggs,6,0.27
2024-06-01,Olive Oil,5,5.87
2025-05-31,Eggs,3,0.27
2024-03-26,Milk,5,0.94
2024-04-02,Salt,5,0.42
2025-04-10,Bread,5,1.2
2024-12-06,Beer,8,0.9
2024-12-09,Sugar,7,0.91
2025-01-27,Toilet Paper,4,0.49
2024-03-09,Chicken,2,5.16
2025-05-04,Salt,4,0.42
2024-09-30,Toilet Paper,6,0.49
2024-12-19,Sugar,2,1.04
2024-10-26,Beer,5,0.85
2024-03-23,Beer,7,0.87
2024-05-31,Canned Tuna,4,1.51
